City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
70,Assiniboia,CA,49.6334,-105.9845,84.02,17,61,12.66,
71,Barrow,US,71.2906,-156.7887,26.62,93,90,4.61,
72,Kruisfontein,ZA,-34.0033,24.7314,57.92,66,16,8.28,
73,Puri,IN,19.8,85.85,84.38,87,100,20.62,
74,East London,ZA,-33.0153,27.9116,65.93,51,50,12.62,
75,Kisangani,CD,0.5167,25.2,68.68,98,81,2.51,
76,Aripuana,BR,-9.1667,-60.6333,77.41,74,68,2.39,
77,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,80,48,25.05,
78,Panguna,PG,-6.3164,155.4848,79.41,70,21,2.98,
79,Road Town,VG,18.4167,-64.6167,86.04,74,20,3.44,
80,Karratha,AU,-20.7377,116.8463,72.54,42,0,14.97,
81,Victoria,HK,22.2855,114.1577,84.38,77,22,8.99,
82,Chokurdakh,RU,70.6333,147.9167,33.12,98,100,11.95,
83,Prokhorovka,RU,51.0374,36.7325,49.57,90,100,13.27,
84,Xinqing,CN,48.2333,129.5,56.62,75,0,1.86,
85,Talnakh,RU,69.4865,88.3972,30.81,69,53,1.57,
86,Khatanga,RU,71.9667,102.5,28.29,93,83,10.04,
87,Kaitangata,NZ,-46.2817,169.8464,47.25,59,27,11.27,
88,San Patricio,US,28.017,-97.5169,86.72,49,3,10.85,
89,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,72,8.34,
90,Buzmeyin,TM,38.0507,58.2056,73.13,53,20,6.91,
91,Cherskiy,RU,68.75,161.3,32.72,97,100,13.44,
92,Bermeo,ES,43.4209,-2.7215,67.24,78,74,4.38,
93,Opuwo,NA,-18.0607,13.84,71.96,27,1,2.44,
94,Cabedelo,BR,-6.9811,-34.8339,75.87,82,16,13.2,
95,Waddan,LY,29.1614,16.139,69.62,57,0,9.4,
96,Itoman,JP,26.1247,127.6694,84.22,87,20,8.05,
97,Matelandia,BR,-25.2408,-53.9964,71.96,40,0,2.8,
98,Ancud,CL,-41.8697,-73.8203,45.93,66,27,8.16,
99,Ulaanbaatar,MN,47.9077,106.8832,33.93,80,75,11.18,
100,Colesberg,ZA,-30.72,25.0972,62.56,18,87,4.76,
101,Chapais,CA,49.7834,-74.8492,58.78,71,95,8.63,
102,Batagay-Alyta,RU,67.8006,130.4114,30.92,78,82,2.55,
